country,site_area,sitename,locname,localt,locheight,recs,post_0,ante_0,fs_provenance,fs_destination,fs_amph,fs_ma,fs_col,fs_blck,fs_sarc
"Albany,Adriatic,Butrint,""Butrint 1"",-30.0,10,1,-300,-275,,,41,,,,"
"Albany,Adriatic,Butrint,""Butrint 2"",0.0,0,1,50,200,,,19,,,,"
"Albany,Adriatic,Butrint,""Butrint 3"",0.0,0,1,-600,-400,,,30,,,,"
"Albany,Adriatic,""Cape Qefalit"",""Cape Qefalit"",,,1,-520,-480,,,9,,,,"
"Albany,Adriatic,""Porto Palermo"",""Porto Palermo"",0.0,0,1,400,500,,,1,,,,"
"Albany,Adriatic,Qefalit,""Qefalit Tile wreck"",0.0,0,1,-400,-300,Corinth,,2,,,,"
Albany,Adriatic,Rodon,Rodon,0.0,0,1,-525,-475,Corinth,,1,,,,
"Albany,Adriatic,Saranda,""Saranda 1"",-78.0,0,1,-600,-450,,,1,,,,"
"Albany,Adriatic,Saranda,""Saranda 2"",0.0,0,1,-400,-300,,,1,,,,"
"Albany,Adriatic,Saranda,""Saranda 3"",0.0,0,1,1,200,,,1,,,,"
"Albany,Adriatic,Saranda,""Saranda 4"",0.0,0,1,-100,-1,,,,,,,"
"Algeria,,Cherchel,""Cherchel A"",,,1,-25,75,,,,,,,"
"Algeria,,Cherchel,""Cherchel B"",,,1,-150,400,,,,,,,"
Belgium,,Bruges,Bruges,,,1,100,275,,,,,,,
"Bulgaria,""Black Sea"",""Arapya Gulf"",""Arapya Gulf"",0.0,0,1,300,600,,,,,,,"
"Bulgaria,""Black Sea"",""Cape Cherni"",""Cape Cherni nos 1"",0.0,0,1,400,600,,,1,,,,"
"Bulgaria,""Black Sea"",""Cape Cherni"",""Cape Cherni nos 2"",0.0,0,1,-400,-300,,,1,,,,"
"Bulgaria,""Black Sea"",""Cape Cherni"",""Cape Cherni nos 3"",0.0,0,1,-600,-400,,,1,,,,"
"Bulgaria,""Black Sea"",""Cape Chirakman"",""Cape Chirakman, Kaliakra 1-2"",0.0,0,1,-330,-50,,,,,,,"
"Bulgaria,""Black Sea"",""Cape Chirakman"",""Cape Chirakman, Kaliakra 3-5"",0.0,0,1,400,800,,,,,,,"
"Bulgaria,""Black Sea"",""Cape Kaliakra"",""Cape Kaliakra"",-6.0,1,1,400,600,,,,,,,"
"Bulgaria,""Black Sea"",""Lazuran bryag"",""Lazuran bryag"",-8.0,0,1,400,500,,,,,,,"
"Bulgaria,""Black Sea"",Nesebar,""Nesebar 1"",0.0,0,1,-500,-400,Chios,Mesembria,1,,,,"
"Bulgaria,""Black Sea"",Nesebar,""Nesebar 2"",0.0,0,1,-325,-280,Aegean,Mesembria,1,,,,"
"Bulgaria,""Black Sea"",Nesebar,""Neseber A"",,,1,-475,-450,,,,,,,"
"Bulgaria,""Black Sea"",Nesebar,""Neseber B"",,,1,500,625,,,,,,,"
"Bulgaria,""Black Sea"",Pomorje,""Pomorie 1-5"",0.0,0,1,400,600,,,1,,,,"
"Bulgaria,""Black Sea"",Pomorje,""Pomorie 6"",-6.0,0,1,400,600,Constantinople,Anhialo,,,,,"
"Bulgaria,""Black Sea"",Pomorje,""Pomorje A"",,,1,400,600,,,,,,,"
"Bulgaria,""Black Sea"",Pomorje,""Pomorje B"",,,1,400,600,,,,,,,"
"Bulgaria,""Black Sea"",""Port Kavarna"",""Port Kavarna"",0.0,0,1,-400,-370,""Herakleia Pontica"",Bizone,1,,,,"
"Bulgaria,""Black Sea"",Ravda,Ravda,0.0,0,1,-475,-450,Chios,Mesembria,1,,,,"
"Bulgaria,""Black Sea"",""Ropotamo River"",""Ropotamo River"",0.0,0,1,375,525,""Asia Minor"",Tera??,,,,,"
"Bulgaria,""Black Sea"",Sozopol,Sozopol,0.0,0,1,-300,-200,""Herakleia Pontica"",Apollonia,1,,,,"
"Bulgaria,""Black Sea"",Sozopol,Sozopol,,,1,-500,-200,,,,,,,"
"Bulgaria,""Black Sea"",Unknown,""no name"",-84.0,0,1,-500,-200,""South coast Black Sea"",,21,,,,"
"Bulgaria,""Black Sea"",Varna,""Varna A"",,,1,300,500,,,,,,,"
"Bulgaria,""Black Sea"",Varna,""Varna B"",0.0,0,1,-400,-300,Chios,Odessos,1,,,,"
Croatia,Adriatic,Bumbiste,Bumbiste,-40.0,30,1,-30,200,,,1,,,,
"Croatia,Adriatic,""Cape Borova"",""Cape Borova"",0.0,0,1,-400,-200,,,1,,,,"
"Croatia,Adriatic,""Cape Glavat/Mljet"",""Cape Glavat/Mljet B"",-50.0,20,1,75,100,""central western Italy"",Aegean,12,,,,"
"Croatia,Adriatic,""Cape Gradina"",""Cape Gradina"",-30.0,0,1,-30,100,,,3,,,,"
"Croatia,Adriatic,""Cape Pelegrin"",""Pelegrin (cape)"",-30.0,12,1,1,150,,,1,,,,"
"Croatia,Adriatic,""Cape Tiha"",""Cape Tiha"",0.0,0,1,-400,-200,,,1,,,,"
Croatia,Adriatic,Cavtat,Cavtat,,,1,-100,-25,,,,,,,
"Croatia,Adriatic,Cavtat,""Cavtat 2"",0.0,0,1,200,400,,,1221,,,,"
Croatia,Adriatic,Drazica,Drazica,-30.0,0,1,-50,-1,,,1,,,,
"Croatia,Adriatic,""Duboka Cove"",""Duboka Cove"",0.0,0,1,200,400,,,301,,,,"
